temporal_distance,split,pairs,videos,mean_ssim,median_ssim,std_ssim,p10_ssim,p25_ssim,p75_ssim,p90_ssim,mean_mae,median_mae,mean_mse,mean_psnr,median_psnr
1,test,2050,41,0.7529868991273205,0.7927313148975372,0.17316006368460501,0.5057190656661987,0.6755858659744263,0.8740860670804977,0.9351107060909272,0.05904664174952004,0.042511237785220146,0.018857357387252825,20.18623734281271,19.747041830029115
1,train,22750,455,0.7186024299210736,0.7745583057403564,0.2064556756374371,0.39792364537715913,0.6263462007045746,0.8697805851697922,0.9302974224090577,0.06639105622577551,0.04682173766195774,0.02186498537935201,19.607268223607107,19.19524830752178
1,val,2550,51,0.7006856075455161,0.7463465929031372,0.20176115671736095,0.39044674634933474,0.5933245420455933,0.8594079315662384,0.922957593202591,0.07218180655255649,0.055176058784127235,0.023855701504838137,19.094298371085543,18.38786762538666
2,test,2050,41,0.7059708181096286,0.7551356554031372,0.19432032248199088,0.382753586769104,0.6136499494314194,0.8502560555934906,0.9150999665260315,0.07701220231399042,0.057192208245396614,0.025667520309491633,18.531790826139396,18.02444380603589
2,train,22750,455,0.6703278089715884,0.7327970564365387,0.22029737535856916,0.30465739071369174,0.5501462817192078,0.8359427750110626,0.9031644880771638,0.08386906359631584,0.060718096792697906,0.028871412040986286,18.00140094465605,17.683551915066907
2,val,2550,51,0.6456429116778514,0.6901805698871613,0.2193824774471416,0.29812756180763245,0.4978262260556221,0.8212528973817825,0.896881103515625,0.09368293080801028,0.07418781518936157,0.0322883978257152,17.392919742880274,16.73151831785382
5,test,2050,41,0.6487923681390722,0.6976176798343658,0.20792022525834217,0.32470993101596834,0.5100263953208923,0.8119130879640579,0.8770629942417147,0.10093694224374414,0.07759738340973854,0.03538710888816983,16.842143325957544,16.518103018872985
5,train,22750,455,0.6099614161578018,0.670780599117279,0.23460350289876544,0.234126915037632,0.44189438968896866,0.7993850111961365,0.8726422488689424,0.10753826213524881,0.08340705931186676,0.03880536270554329,16.39294098224017,16.0138228552868
5,val,2547,51,0.5914803205477019,0.6365635991096497,0.22467111182678637,0.2522838652133942,0.4110144376754761,0.7782682180404663,0.8592353463172913,0.11411224141002833,0.09481648355722427,0.04082947836761829,15.88393687453777,15.439026135615217
10,test,2050,41,0.6052006693129859,0.6648919880390167,0.22176636328990737,0.2677679419517517,0.4165204167366028,0.789158046245575,0.8542001247406007,0.120126696937638,0.09470219165086746,0.043786443262476785,15.711987618011989,15.398530248326091
10,train,22750,455,0.5694236646606535,0.6199642717838287,0.23896167949167077,0.20266577303409578,0.36816154420375824,0.7717268317937851,0.8509950637817383,0.12389449818806651,0.10234658047556877,0.04562040100656287,15.418392480223629,14.96942749146444
10,val,2542,51,0.5453726349487888,0.5774922370910645,0.22654639343679034,0.23073082268238068,0.3446507975459099,0.7373706251382828,0.8302786946296693,0.13465203488696978,0.12052158266305923,0.049750001143957584,14.721722046801291,14.069756747916957
