video_id,split,shard,temporal_distance,pairs,mean_ssim,median_ssim,std_ssim,mean_mae,mean_mse,mean_psnr
-VAjjH6TTts,test,Dataset_Shard_0000000_0099999,1,50,0.8038274586200714,0.7898056507110596,0.0557896444473332,0.0455369493085891,0.014172384045596119,19.918775631936143
-jo_cPHYmjg,test,Dataset_Shard_0000000_0099999,1,50,0.9184270715713501,0.9444389641284943,0.11476603690432573,0.022217455427162348,0.007135765926213935,27.017763930506252
-wUKLCvobpI,test,Dataset_Shard_0000000_0099999,1,50,0.8594118604063987,0.8804674744606018,0.1339155990602781,0.030438889656870742,0.00806005295295563,25.303688804266457
3cwtNTYOszU,test,Dataset_Shard_0000000_0099999,1,50,0.8052593803405762,0.8577241897583008,0.16381686143358956,0.05051749151665717,0.01715663166483864,21.149506111157116
46-qefy8Nwc,test,Dataset_Shard_0000000_0099999,1,50,0.5839365613460541,0.5777158737182617,0.16120424790170676,0.10682618021965026,0.033092761137522755,17.083126064898412
4bA4M-spkoI,test,Dataset_Shard_0000000_0099999,1,50,0.74069551050663,0.7432714998722076,0.08493225385485148,0.056680083200335504,0.015692893033847213,19.17695695931026
5Cq1OqWFAzw,test,Dataset_Shard_0000000_0099999,1,50,0.8422618597745896,0.8420880138874054,0.09298087632750554,0.03575237840414047,0.009811480978969484,22.039587375138332
5oBOMUXaJwc,test,Dataset_Shard_0000000_0099999,1,50,0.7863181591033935,0.8092269599437714,0.13163638990805596,0.05548354764468968,0.01778381031821482,19.44581579315963
8e9ejcfVQfY,test,Dataset_Shard_0000000_0099999,1,50,0.8140112352371216,0.8370539247989655,0.09809374023068089,0.0523568366933614,0.020386041987221687,18.324641579310146
9azhMaMU4Eo,test,Dataset_Shard_0000000_0099999,1,50,0.829313931465149,0.8230727910995483,0.07806692469976191,0.03540218658745289,0.008161336416378617,22.867943135868526
CzkK0xSXUMs,test,Dataset_Shard_0100000_0199999,1,50,0.8583421051502228,0.8915729224681854,0.1395977568781185,0.03858390023931861,0.01181038650800474,23.295058774014418
