temporal_distance,split,pairs,videos,mean_full_mae,median_full_mae,p10_full_mae,p90_full_mae,mean_human_mae,median_human_mae,mean_cloth_mae,median_cloth_mae,mean_skin_mae,median_skin_mae,mean_full_changed_fraction,mean_human_changed_fraction,mean_cloth_changed_fraction,mean_skin_changed_fraction
1,test,2100,41,0.059048396247508024,0.04285833053290844,0.012458381522446871,0.12722011357545854,0.14068257299078,0.12891335785388947,0.13262340785757823,0.11828842759132385,0.16765875204510805,0.1570858433842659,0.24126287847728375,0.5889773155131055,0.5498639032953233,0.6936206023460383
1,train,22879,455,0.06697129702424486,0.04686911404132843,0.013664898462593555,0.15034969747066498,0.1462689194281569,0.13346536457538605,0.13926323572466523,0.12476691603660583,0.17059229197927936,0.15854579210281372,0.2723104475123565,0.6072699459202365,0.5746975398488711,0.7034610204633649
1,val,2600,51,0.07147674730252801,0.053901221603155136,0.014587170910090208,0.1516655936837196,0.15342372424132586,0.14421100169420242,0.14608111962834308,0.13549912720918655,0.1775853654451332,0.17158885300159454,0.2869208769745879,0.6286182708055029,0.59849477137817,0.7250718691124238
2,test,2100,41,0.07589523274295473,0.05540626496076584,0.01638666316866875,0.1717413887381554,0.16555536710116722,0.15622218698263168,0.1582593616209583,0.1462601274251938,0.19211681313356513,0.18313879519701004,0.307673408649174,0.6614198778960483,0.6284666056311332,0.7554777386951237
2,train,22878,455,0.08451859664547792,0.06117928959429264,0.018761140666902067,0.1885882169008255,0.1716231339721003,0.16174785792827606,0.16422712261001574,0.1513049229979515,0.19591714506887883,0.1868404522538185,0.33577669179886743,0.6808461818341586,0.6501801912460557,0.7694667312197006
2,val,2600,51,0.08945237894657829,0.06907865032553673,0.019438083656132223,0.1873688846826553,0.17620811853760363,0.16899631917476654,0.16714067972208552,0.1543809399008751,0.19973587467325143,0.19569816440343857,0.357345919287186,0.6935853736418743,0.6635612354400555,0.7815694942201518
5,test,2100,41,0.1017825433709437,0.08072349056601524,0.024287267029285433,0.2142214059829712,0.1964948333050528,0.18781916052103043,0.18955648426744412,0.17793190479278564,0.21989666917947726,0.2123313695192337,0.4147870068786443,0.7410809006405863,0.7115622919451124,0.8207027964953547
5,train,22875,455,0.10757476748085563,0.08351822942495346,0.026730674877762796,0.2302760809659959,0.19879102995989226,0.1918494701385498,0.19180037369934264,0.18101783096790314,0.21981935065108207,0.21112045645713806,0.4218552417893387,0.7551255076543272,0.7298828759095681,0.82550096527943
5,val,2597,51,0.1143954996861719,0.0964934453368187,0.028245297819375993,0.22263378798961642,0.2034047812123336,0.19760853052139282,0.19498513492777197,0.18652105331420898,0.2234742754627686,0.21729445457458496,0.45628564963841717,0.7701459331547522,0.7468029834780404,0.8398860553643126
10,test,2100,41,0.117435968313089,0.09415395930409431,0.03021562434732914,0.24344488680362703,0.21277013311184764,0.2055836245417595,0.20776131840633405,0.1952919438481331,0.23265827551051707,0.22452524304389954,0.4644355867346939,0.7790688281671747,0.7541635936625534,0.8455538891477816
10,train,22870,455,0.1241144340422011,0.10248825326561928,0.032717257365584375,0.2492789447307587,0.21464550637554644,0.20865609496831894,0.20912998910033,0.1982804238796234,0.23110229818200387,0.22317607700824738,0.48282012249108763,0.7941959381808179,0.7727173974722591,0.8529696455726116
10,val,2592,51,0.1293227141763908,0.1140313521027565,0.035831413045525555,0.24092570245265962,0.21612650502985487,0.21019867062568665,0.2094893858570068,0.20080914348363876,0.23342233886257788,0.22864997386932373,0.5126987110309981,0.79703896825652,0.7758087863508459,0.8598872107594587
