temporal_distance,split,pairs,videos,mean_motion_magnitude,median_motion_magnitude,p10_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
1,test,2050,41,2.914284345281446,2.101921319961548,0.44164776504039766,6.6451740741729735,0.4284111342707815,0.0023948883018506534,-0.03495641379692266,1.3905080797827878
1,train,22750,455,3.167462195306428,2.1850476264953613,0.4606772482395172,7.421883010864259,0.46343058018193545,-0.003538718999306661,0.04141737096228106,5.788774030474263
1,val,2550,51,3.326396479018463,2.4697991609573364,0.5364046514034271,7.33973603248596,0.4775070965886355,-0.038729984882501074,0.012493449755555263,5.9037592522748445
2,test,2050,41,3.580332015723149,2.8023858070373535,0.6543247878551484,7.578481435775759,0.4764077763346192,-0.02782700168050402,0.12108509605233848,9.226461561446055
2,train,22750,455,3.8291531807890244,2.8639299869537354,0.658224081993103,8.494408893585211,0.5105230257625027,-0.0016446826676878477,0.054085385314301716,3.7060571240735127
2,val,2550,51,4.159142915677078,3.346345067024231,0.7565277338027954,8.804410934448242,0.5303036996048419,0.018337326911785246,0.08973739293555077,3.848947104978931
5,test,2050,41,4.343712556474819,3.564367175102234,0.9290034055709839,8.777940559387208,0.529546493902439,-0.0005941218070731294,0.01938488146224877,3.95049507466598
5,train,22750,455,4.674239080397868,3.7619123458862305,1.0012249112129212,9.472954654693606,0.5705127647384504,-0.013464062837484332,0.04371048492177601,2.6565685231826563
5,val,2547,51,5.069373178574786,4.30816650390625,1.1908331871032716,9.714879417419434,0.5913123222824171,-0.0219756376742903,-0.01799148874883817,3.3924241115006724
10,test,2050,41,4.867350031788938,4.095994710922241,1.2145947575569154,9.215270042419434,0.5721923803820309,-0.0010912616858997086,-0.06562400800661503,3.2467701656185426
10,train,22750,455,5.166669754649911,4.423402547836304,1.238374447822571,9.828805923461914,0.6140234366239627,0.007203295675204852,0.041768706171090915,1.7482418316898796
10,val,2542,51,5.540762259950971,4.857613801956177,1.4344657063484192,10.278496170043946,0.6239361679774683,-0.04024274286458285,-0.04659636536786608,1.8056486512877215
