temporal_distance,split,mean_flow_magnitude,median_flow_magnitude,p90_flow_magnitude,mean_fb_error,median_fb_error,p90_fb_error,fb_consistency_ratio_pair,valid_flow_ratio,mean_warp_error,median_warp_error,warp_valid_ratio,human_mask_coverage,human_mean_flow_magnitude,human_median_flow_magnitude,human_p90_flow_magnitude,human_mean_fb_error,human_fb_consistency_ratio,human_mean_warp_error,pairs,videos
1,test,2.8612359295848626,1.2660815134883832,7.898984834524623,1.3831520608898358,0.3030486068187952,3.859379104274388,0.8248257661373165,0.9833259687803693,11.993008729407642,5.73896825905357,0.9808794092413752,0.18590379957786687,5.550867013470045,4.845444042359416,10.332176456343426,1.971463465836222,0.7142802485038315,21.803212105445454,2100,41
1,train,3.158761417579155,1.622705156778371,8.204220188590346,1.4271304250506223,0.34649546159126104,3.9303978183377786,0.8149556751029876,0.9815056325393865,12.938399523574379,6.289341029769563,0.978670655149462,0.18910393498716851,5.639654507516895,4.997585662243104,10.312998584618464,1.9087254145918557,0.7126404141340437,22.81792082087729,22879,455
1,val,3.318039658030052,1.6965901952827933,8.673080397297966,1.5787704745810067,0.3857025061079151,4.30276314254236,0.8045019735904523,0.9823422935881082,13.994027354322741,7.2376281905862,0.977837304994113,0.1957491859424058,5.928441212267278,5.264647481536091,10.769453936569905,2.054773039904265,0.6918549986142897,23.772568377230552,2600,51
2,test,3.4860538894322235,1.708188500615735,9.35813746430611,1.8150295629892277,0.4559721619016783,5.130120782829908,0.7767388482092764,0.981112692844995,15.831955432562058,8.32293650158814,0.9781859378796162,0.191585182063897,6.458636473107165,5.725101927216544,11.88282910492309,2.5057754397461633,0.6421473755683357,27.023475897618614,2100,41
2,train,3.8373925960221147,2.1202806957760747,9.677466135260138,1.8671623326520501,0.5188557284678732,5.158593066857476,0.761496805662965,0.9788724701377404,17.308909336413276,9.287168164571188,0.975251575508498,0.18927702226601037,6.562076801347402,5.892440853641927,11.797622984693568,2.403523479956742,0.6378937415945095,28.933201419903316,22878,455
2,val,3.9894071557005653,2.2054928455491805,10.13413644885519,2.003015767378294,0.5499951499945707,5.594853102534936,0.7497174484901715,0.9790871900142268,18.574002516040434,10.40814103032534,0.9750145104616366,0.19505158764226843,6.841670535340482,6.134965349230128,12.338223022958623,2.6253539191806605,0.615469993393396,29.951952024883806,2600,51
5,test,4.191160183443821,2.2564038829432267,10.813624757496374,2.2759655424588847,0.6585529768331262,6.367530385700853,0.7192657598840619,0.9790623766247569,21.637041446850414,12.912301579231308,0.9736874582422255,0.19271522336613217,7.351249927868956,6.588117971177368,13.24998238752707,3.0253029287207895,0.5649463480718784,33.679262220235096,2100,41
5,train,4.609459412186699,2.7702448486951083,11.18692258712584,2.3796516328625423,0.7618720093644048,6.488281906148067,0.6996882665121237,0.9755120188956731,23.05920498566309,13.692648452121704,0.9712477303933869,0.1884882224406156,7.393065111692473,6.7028408562150315,13.12730691886953,2.8966028857426553,0.5653951349347327,35.45617696567352,22875,455
5,val,5.017831968834274,3.0805933250453523,12.053266676033076,2.6950957684814973,0.8627332859654346,7.403301422223148,0.6739269321067768,0.9746247233611388,24.917005662877695,15.283083047851214,0.9695563108040676,0.19622032486463975,7.849325923774227,7.088732759023934,13.947787812560607,3.2126319639320062,0.5274584662743677,36.8692021012639,2597,51
10,test,4.724892597241061,2.751009669733744,11.788150362783954,2.6707319796329276,0.8410080577938875,7.4138711347732515,0.6809901387912012,0.9767161211582847,25.862594956556958,16.46428571702469,0.9705455748147473,0.19038646820335278,7.875668805403458,7.030007496550901,14.258546986760393,3.425261053817341,0.5190393018526502,38.696892820681846,2100,41
10,train,5.166603688500646,3.30296359659717,12.17530678441598,2.752157633207604,0.9627288466083287,7.426079336138014,0.6560874260341426,0.9731721376173447,27.397550354933813,17.345131904467987,0.9677255666525192,0.18914990985121094,7.852949142688042,7.12581287094223,13.885822163134652,3.200555924809856,0.5210709031497072,39.989532877900324,22870,455
10,val,5.49894924338815,3.5615912030893755,12.855665663619423,2.9776682842603344,1.0231362645270918,8.118597690915017,0.6393644201815023,0.9725061840961791,28.77130896427933,18.62917952456822,0.9665684352806517,0.19368219699989372,8.371852498605378,7.623435951716534,14.686077050087157,3.40063512514738,0.4987188855985879,40.627492571686524,2592,51
